ProductKey,ProductName,Category,ListPrice,StandardCost,Elasticity,LaunchDate,DiscontinuedDate
1000,Sparkling Water 1L,Beverages,2.4,1.05,-1.48,2025-02-18,
1001,Cold Brew Coffee 250ml,Beverages,4.9,2.35,-1.31,2024-09-22,
1002,Orange Juice 2L,Beverages,5.6,3.1,-1.17,2025-01-28,
1003,Green Tea 500ml,Beverages,3.2,1.4,-1.42,2023-07-01,
1004,Energy Drink 330ml,Beverages,3.9,1.55,-1.28,2025-05-05,
1005,Almond Milk 1L,Beverages,4.3,2.6,-1.3,2023-07-01,
1006,Roasted Almonds 200g,Snacks,7.5,4.2,-1.04,2023-07-01,
1007,Rice Crackers 150g,Snacks,3.1,1.3,-1.22,2023-07-01,
1008,Muesli Bar 6pk,Snacks,6.2,3.45,-1.32,2023-07-01,
1009,Corn Chips 175g,Snacks,4.4,1.85,-1.21,2025-02-09,
1010,Dark Chocolate 100g,Snacks,5.1,2.3,-1.15,2023-07-01,
1011,Trail Mix 300g,Snacks,8.9,5.4,-1.13,2023-07-01,
1012,Laundry Liquid 2L,Household,14.5,9.2,-0.86,2023-07-01,2025-11-08
1013,Dish Soap 500ml,Household,4.2,2.05,-1.0,2023-07-01,
1014,Paper Towel 6pk,Household,9.8,6.55,-0.88,2023-07-01,
1015,Bin Liners 50pk,Household,7.4,4.1,-0.78,2024-01-19,
1016,Surface Spray 750ml,Household,6.3,3.15,-1.1,2025-05-29,2026-02-01
1017,Sponges 8pk,Household,4.9,2.7,-1.17,2023-07-01,
1018,Shampoo 400ml,Personal Care,11.2,5.6,-0.67,2025-03-14,2026-03-26
1019,Body Wash 500ml,Personal Care,9.4,4.35,-0.44,2025-03-11,
1020,Toothpaste 110g,Personal Care,5.8,2.15,-0.53,2024-03-27,
1021,Sunscreen SPF50 200ml,Personal Care,16.9,8.8,-0.51,2023-07-01,
1022,Hand Cream 75ml,Personal Care,8.6,3.9,-0.41,2024-11-11,
1023,Razor Blades 4pk,Personal Care,18.5,11.2,-0.47,2023-07-01,
1024,Olive Oil 750ml,Pantry,13.9,8.6,-1.95,2023-07-01,
1025,Pasta 500g,Pantry,2.8,1.35,-1.71,2023-07-01,
1026,Basmati Rice 1kg,Pantry,5.4,3.2,-1.85,2023-07-01,
1027,Tinned Tomatoes 400g,Pantry,1.9,1.05,-1.5,2024-10-08,
1028,Peanut Butter 375g,Pantry,6.7,3.5,-1.69,2023-07-01,
1029,Honey 500g,Pantry,11.4,7.1,-1.91,2023-07-01,
